Timestamp,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
12/8/2016 14:58:22,"Dexateens, Teenage Hallelujah","Dexateens, Teenage Hallelujah","Dexateens, Teenage Hallelujah","Dexateens, Teenage Hallelujah","Dexateens, Teenage Hallelujah"
12/8/2016 14:58:22,"Dexateens, Teenage Hallelujah","Dexateens, Teenage Hallelujah","Dexateens, Teenage Hallelujah","Dexateens, Teenage Hallelujah","Dexateens, Teenage Hallelujah"
12/8/2016 14:58:23,"Dexateens, Teenage Hallelujah","Dexateens, Teenage Hallelujah","Dexateens, Teenage Hallelujah","Dexateens, Teenage Hallelujah","Dexateens, Teenage Hallelujah"
12/5/2016 15:32:28,"The Temptations, The Best Of The Temptations","The Spinners, The Best Of The Spinners","Michael Jackson, Best Of Michael Jackson","Diana Ross,Diana","Smokey Robinson, A Quiet Storm"
12/7/2016 10:53:08,"River Whyless, We All the Light","The Lumineers, Cleopatra","Aubrie Sellers, New City Blues","Diane Coffee, Everybody's A Good Dog","Oh Pep, Stadium Cake"
12/6/2016 3:01:23,"Highasakite, Camp Echo","Miike Snow, iii","Beyonce, Lemonade","Die Antwoord, Mount Ninji and da Nice Time Kid","Saul Williams, MartyrLoserKing"
12/6/2016 13:45:45,"Eric Church, Mr. Misunderstood","Jon Pardi, California Sunrise","Brothers Osborne, Pawn Shop","Dierks Bentley, Black","Keith Urban, Ripcord"
12/9/2016 13:27:15,"Brothers Osborne, Pawn Shop","Jon Pardi, California Sunrise","Eric Church, Mr. Misunderstood ","Dierks Bentley, Black","Keith Urban, Ripcord"
12/9/2016 13:27:24,"Brothers Osborne, Pawn Shop","Jon Pardi, California Sunrise","Eric Church, Mr. Misunderstood ","Dierks Bentley, Black","Keith Urban, Ripcord"
12/9/2016 13:27:35,"Brothers Osborne, Pawn Shop","Jon Pardi, California Sunrise","Eric Church, Mr. Misunderstood ","Dierks Bentley, Black","Keith Urban, Ripcord"
12/9/2016 13:31:21,"Brothers Osborne, Pawn Shop","Jon Pardi, California Sunrise","Eric Church, Mr. Misunderstood ","Dierks Bentley, Black","Keith Urban, Ripcord"
12/5/2016 15:51:55,"Beyoncé, Lemonade","Masterpiece, Big Thief","Car Seat Headrest, Teens of Denial","Diet Cig, Over Easy","Angel Olsen, MY WOMAN"
12/5/2016 17:36:16,"Nada Surf, You know who you are","DMA's, Hills end","Freightened rabbit, painting of a panic attack","Diiv, is the is are","The veils, total deprevity"
12/9/2016 12:16:18,"Solange, A Seat At the Table","Anderson.Paak, Malibu","Kaytranada, 99.9%","DIIV, Is the Is Are","Radiohead, A Moon Shaped Pool"
12/9/2016 15:22:50,"Solange, A Seat At the Table","Anderson.Paak, Malibu","Kaytranada, 99.9%","DIIV, Is the Is Are","Radiohead, A Moon Shaped Pool"
12/9/2016 13:52:02,"Radiohead, A moon shaped pool","Flock of dimes, If you see me say Yes!","Steve Gunn, Eyes on the lines","DIIV, Is the is are","Thee oh sees, A weird exits"
12/5/2016 16:13:36,"Whitney, Light Upon the Lake","Car Seat Headrest, Teens of Denial","Various Artists, Day of the Dead","Diiv, Is the Is Are","Porches, Pool"
12/6/2016 1:55:15,"Taking Back Sunday , Tidal Wave","The Dear Hunter, Act V","Jimmy Eat World, Integrity Blues","Dikembe, Hail Something","Modern Baseball , Holy Ghost"
12/12/2016 8:51:38,"She makes war, direction of travel ","New Model Army, winter","Korn, the serenity of suffering","Dinosaur Jr, give a glimpse ","Metallica, hardwired to"
12/8/2016 11:14:02,"Car Seat Headrest, Teens of Denial","Modern Baseball, Holy Ghost","The Thermals, We Disappear","Dinosaur Jr., Give a Glimpse of What Yer Not","PJ Harvey, The Hope Six Demolition Project"
12/5/2016 14:42:25,"Beyonce, Lemonade","Bleached, Welcome the Worms","Coathangers, Nosebleed Weekend","Direct Hit!, Wasted Mind","Dinosaur Jr, Give a Glimpse of What Yer Not"
12/5/2016 21:26:32,"Metallica, Hard Wired to Self Destruct","Garbage, Strange Little Birds","3 Doors Down, Us and the Night","Disturbed, Live at Red Rocks","Green Day, Revolution Radio"
12/5/2016 16:55:05,"ZAYN, Mind Of Mine","James Vincent McMorrow, We move","Tove Lo, Lady Wood","DNCE, DNCE","Peter Doherty, Hamburg Demonstrations"
12/6/2016 10:33:17,"Frank Ocean, Blonde","James Blake, The Colour in Anything","Radiohead, A Moon Shaped Pool","Douglas Dare, Aforger","Agnes Obel, Citizen of Glass"
12/5/2016 16:33:20,"Bon Iver, 22 A Million","Schoolboy Q, Blank Face","King Gizzard and The Lizard Wizard, Nonagon Infinity","Dr. Dog, Abandoned Mansion","Bibio, A Mineral Love"
12/6/2016 13:45:16,"Bon iver, 22 a million","Whitney, light upon the lake","Car seat headrest, teens of denial","Dr. Dog, abandoned mansion ","Andrew Bird, are you serious"
12/5/2016 15:49:47,"Thao & The Get Down Stay Down, A Man Alive","Anderson .Paak, Malibu","Polica, United Crushers","Dr. Dog, The Psychedelic Swamp ","King Gizzard & The Lizard Wizard, Nonagon Infinity"
12/5/2016 17:34:54,G eazy,Ariana grande,Fergie,Drake,Chainsmokers
12/11/2016 10:58:50,Zayn Malik,Zayn Malik,Zayn Malik,Drake,Niall Horan
12/11/2016 11:01:25,"zayn , mind of mine ","rihanna, anti ","beyonce, lemonade","drake ,views ","lady gaga, johanna"
12/6/2016 1:12:27,"Dylan Evans, Hot Timez","LOLO, In Loving Memory Of When I Gave A Shit","Midland, Midland","Drake White, Spark","Brent Cobb, Shine On Rainy Day"
12/6/2016 8:12:14,zayn - mind of mine ,ariana grande - dangerous woman,Rihanna - anti,drake- views,little mix - glory days 
12/5/2016 15:46:24,"Beyonce, Lemonade","The 1975, I Like It When You Sleep, for You Are So Beautiful yet So Unaware of It","Ariana Grande, Dangerous Woman","Drake, Views","Radiohead, Moon Shaped Pool"
12/5/2016 14:25:02,"ZAYN, Mind of Mine","The Weeknd, Starboy","Beyonce, Lemonade","Drake, Views","Rihanna, Anti"
12/6/2016 0:52:58,"Tegan and Sara, Love You to Death","Lady Gaga, Joanne","Beyoncé, lemonade","Drake, views","Lumineers, cleopatra "
12/7/2016 1:50:59,"Conor Oberst, Ruminations","Kanye West, Life of Pablo","Bon Iver, 22 a million","Drake, Views","Lumineers, Cleopatra"
12/6/2016 21:58:59,"Kanye west, the life of Pablo ","Beyoncé, lemonade ","Bon iver, 22, a million ","Drake, views","Travis scott, birds in the trap sing McKnight "
12/5/2016 17:12:02,"Skepta, Konnichiwa","Beyonce, Lemonade","Frank Ocean, Blonde","Drake, Views","Michael Kiwanuka, Love & Hate"
12/8/2016 15:58:23,"Sturgill Simpson, A Sailor's Guide to Earth","Anderson .Paak, Malibu ","Jason Isbell, Something More Than Free","Drake, Views","The Weeknd, Starboy"
12/5/2016 18:15:42,"Frank Ocean, Blonde","Bruno Mars, 24k Magic","Kanye West, The Life of Pablo","Drake, Views","The Weeknd, Starboy"
12/5/2016 14:27:32,"Zayn, Mind of Mine","Beyonce, Lemonade","Rihanna, Anti","Drake, Views","Frank Ocean, Blonde"
12/5/2016 14:27:58,"Zayn, Mind of Mine","Beyonce, Lemonade","Rihanna, Anti","Drake, Views","Frank Ocean, Blonde"
12/11/2016 11:54:08,"Zayn, Mind Of Mine","Little Mix, Glory Days","Selena Gomez, Revival","Drake, Views","Justin Bieber, Purpose"
12/5/2016 18:40:46,"Zayn, Mind of Mine","A Tribe Called Quest, We Got It From Here","Swet Shop Boys, Cashmere","Drake, Views","Rihanna, Anti"
12/6/2016 10:19:40,"Zayn, Mind of Mine","A Tribe Called Quest, We Got It From Here","Swet Shop Boys, Cashmere","Drake, Views","Rihanna, Anti"
12/6/2016 21:15:13,,,,"Drake, views",
12/11/2016 11:21:36,"Zayn, Mind of Mine","Modern Baseball, Holy Ghost","Taking Back Sunday, Tidal Wave","DRAM, Big Baby","Frank Ocean, Blond"
12/8/2016 7:42:40,Car seat  head rest,Sturgill Simpson,Parker Millsap,Drive by Truckers,Margo Price
12/5/2016 13:30:36,Sturgill Simpson sailors guide to earth ,Blackberry Smoke like an arrow ,Cody jinks I'm not the devil ,Drive by truckers American band,Whitey Morgan 
12/5/2016 14:19:29,"Bon Iver -22, A Million",Okkervil River-Away,Anderson Paak-Malibu,Drive By Truckers-American Band,Conor Oberst- Ruminations
12/6/2016 15:37:39,"Amanda Shires, My Piece of Land","Sturgill Simpson, A Sailors Guide to Earth","Dwight Yoakam, Swimmin Pools, Movie Stars...","Drive by Truckers, American Band","Bob Weir, Blue Mountain"
12/6/2016 11:12:31,"Margo Price, Midwest Farmer's Daughter","Peter Bruntnell, Nos Da Comrade","Lydia Loveless, Real","Drive By Truckers, American Band","Hannah Peel, Awake But Always Dreaming"
12/7/2016 1:19:38,"Bon Iver, 22, A Million","Hayes Carll, Lovers and Leavers","Parker Millsap, The Very Last Day","Drive By Truckers, American Band","Lydia Loveless, Real"
12/5/2016 16:58:58,"The Avett Brothers, True Sadness","The Lumineers, Ophelia ","Shovels and Rope, Little Seeds","Drive By Truckers, American Band","Red Hot Chili Peppers, The Getaway"
12/5/2016 23:48:12,"Nathan Bowels, Whole & Cloven","Wilco, Smilco","Paul Simon, Stranger to Stranger","Drive By Truckers, American Band ","Frank Ocean, Blonde"
12/5/2016 23:01:36,"Nick cave, skeleton tree","Radiohead, amoon shaped pool","David Bowie, black star ","Drive by truckers, an American band","Leonard cohen, you want it darker "
12/5/2016 17:38:04,"David Bowie,Blackstar","Beyonce,Lemonade","Esperanza Spaulding,Emily's D+ Evolution","Drive By Truckers,American Band","Sturgill Simpson,Sailor's Guide to Earth"
12/9/2016 19:04:21,"Leonard Cohen, you want it darker","Margo Price, Midwest farmer's daughter",Case Lang veirs,"Drive-by truckers, American Band",John Prine
12/6/2016 18:07:51,"Michael Kiwanuka, Love and Hate","Sturgill Simpson, A Sailor's Guide to Earth","Childish Gambino, Awaken My Love","Drive-By Truckers, American Band","Hayes Carll, Lovers and Leavers"
12/6/2016 11:30:51,"Radiohead, A Moon Shaped Pool","The Lumineers, Cleopatra","Frightened Rabbit, Painting of a Panic Attack","Drive-By Truckers, American Band","A Tribe Called Quest, Thank You 4 Your Service. . ."
12/5/2016 16:51:55,"Underworld, Barbara Barbara, we face a shining future","Amanda Shires, My Piece of Land","Maria Andersson, Succession","Drive-By Truckers, American Band","SIANspheric, Writing the Future in Letters of Fire"
12/6/2016 16:57:50,"Rolling Stones, Blue and Lonesome","David Bowie, Blackstar","Neil Young, Earth","Drive-By Truckers, American Band","Catherine Russell, Harlem On My Mind"
12/9/2016 13:03:55,"Car Seat Headrest, Teens of Denial","anderson.paak, Malibu","Preoccupations, Preoccupations","Drive-By Truckers, American Band","A Tribe Called Quest, We got it from here..."
12/6/2016 7:52:48,"Lucinda Williams, Ghosts of Highway 20","Beyoncé, Lemonade","Rihanna, Anti","Drive-by Truckers, American Band","David Bowie, Blackstar "
12/5/2016 13:19:51,"Frightened Rabbit, Painting of a Panic Attack","Wilco, Schmilco","Weezer, White Album","Drive-By Truckers, American Band","Band of Horses, Why Are You OK"
12/5/2016 13:35:17,"Hiss Golden Messenger, Heart Like a Levee","Anderson .Paak, Malibu","A Tribe Called Quest, We got it from Here, Thank You 4 Your Service","Drive-By Truckers, American Band ","Margaret Glaspy, Emotions and Math"
12/6/2016 4:26:16,"Plini, Handmade Cities","Run River North, Drinking from a Salt Pond","Moe Shop, Moshi Moshi","Dumfoundead, We Might Die","サカナクション, 多分、風。 - Single"
12/6/2016 8:18:56,"NAO, For All We Know","St. Paul &a the Broken Bones, Sea of Noise","The Suffers, The Suffers","dvsn, Sept. 15th","Jack Garratt, Phases"
12/7/2016 23:53:01,"Black Mountain, IV","Radiohead, A Moon Shaped Pool","Lisa Hannigan, At Swim","Dylan LeBlanc, Cautionary Tale","Shearwater, Jet Plane and Oxbow"
12/5/2016 16:02:08,"Bon Iver, 22 A Million","Gregory Alan Isakov, Gregory Alan Isakov with The Colorado Symphony Orchestra","Ona, American Fiction","Dylan LeBlanc, Cautionary Tale","Sturgill Simpson, A Sailor's Guide to Earth"
12/6/2016 16:59:33,"Lucinda William, Ghosts of Highway 20","Drive-By Truckers, American Band","The Jayhawks, Paging Mr. Proust","Dylan LeBlanc, Cautionary Tale","Nathaniel Rateliff and the Night Sweats, Little Something More Fun"
12/5/2016 18:22:35,"Springtime Carnivore, Midnight Room","case/lang/veirs, case/lang/viers","Tycho, Epoch","Dylan LeBlanc, Cautionary Tale","Whitney, Light Upon the Lake"
12/10/2016 4:35:20,"Palace, So Long Forever","King Creosote, Astronaut Meets Applemen","Sturgill Simpson, A Sailor's Guide to Earth","Ed Harcourt, Furnaces","Bon Iver, 22, A Million"
12/6/2016 23:45:32,"Sarah Mary Chadwick, Roses Always Die","Virgin of the Birds, Secret Kids","Parque Courts, Human Performance","Eleanor Friedberger, New View","Car Seat Headrest, Teens of Denial"
12/6/2016 2:04:30,Lumineers - Cleopatra,Nahko and Medicine for the People - Hoka,Catfish and the Bottleman - The Ride,Eliot Sumner - Information,Eno - The Ship
12/6/2016 1:09:51,"Margaret Glaspy, Emotions and Math","Colvin and Earle, Colvin and Earle","Shovels and Rope, Little Seeds","Eliot Sumner, Information","Tegan and Sara, Love You to Death"
12/10/2016 15:31:49,"Lori McKenna, The Bird & The Rifle","Drive By Truckers, American Band","Robbie Fulks, Upland Stories","Elise Davis, The Token","The Monkees, Good Times"
12/8/2016 10:18:12,Lucinda Williams-Ghosts of Highway 20,Leonard Cohen-You Want It Darker,Margo Price-Midwestern Farmer's Daughter,Elizabeth Cook-Exodus of Venus,"John Prine-For Better, Or Worse"
12/10/2016 5:43:19,"Porridge Radio - Rice, Pasta  and other Fillers",Laish - Pendulum Swing ,Hiss Golden Messenger - Heart Like a Levee,Ellie Ford - The Other Sun,Keith Christmas - Crazy Dancing Days
12/11/2016 15:53:05,"Little Mix, Glory Days","Little Mix, Get Weird","Beyoncé, Information","Ellie Golding, Delirium",
12/6/2016 11:44:06,"David Bowie, Blackstar","Sia, This Is Acting","Roisin Murphy, Take Her Up to Monto","Elliphant, Living Life Golden","M.I.A., AIM"
12/11/2016 17:01:23,"Anohni, Hopelessness","Bon Iver, 22 A Million","Avec, What If We Never Forget","Emeli Sande, Long Live the Angels","Frank Ocean, Blonde"
12/6/2016 4:20:54,"James Blake, The Colour in Anything","Regina Spektor, Remember Us to Life","Bat for Lashes, The Bride","Emmy the Great, Second Love","James Vincent McMorrow, We Move"
12/8/2016 16:54:03,"Eerie Wanda, Hum","Nick Cave & The Bad Seeds, Skeleton Tree","Robert Glasper, Everything's Beautiful","Emmylou Harris/Rodney Crowell, The Traveling Kind","Iggy Pop, Post Pop Depression"
12/6/2016 2:11:39,"Sims, More Than Ever","Local Natives, Sunlit Youth","Bambu, Prey for the Devil","Empire of the Sun, Two Vines","Kongos, Egomaniac"
12/10/2016 10:16:14,"Mutemath, Vitals","Lapsley, Long Way Home","Billie Marten, Writing of Blues and Yellows","Empire of the Sun, Two Vines","Kat Wright, By My Side"
12/6/2016 8:13:09,"Margaret Glaspy, Emotions and Math","Kishi Bashi, Sonderlust","Hey Marsilles, Hey Marsilles","Empty Houses, Daydream","Childish Gambino, ""Awaken, My Love!"""
12/6/2016 8:12:33,"Margaret Glaspy, Emotions and Math","Sonderlust, Kishi Bashi","Hey Marsilles, Hey Marsilles","Empty Houses, Daydream","""Awaken, My Love!"", Childish Gambino"
12/6/2016 16:37:11,Puberty 2 (Mitski),My Woman (Angel Olsen),Front Row Seat To Earth (Weyes Blood),Enjoy! (Mugison),Emotions and Math (Margaret Glaspy)
12/8/2016 12:45:19,"Birdeatsbaby, TANTA FURIA","Garbage, Stange Little Birds","Devin Townsend Project, Transcendence","Epica, The Holographic Principle","Big Big Train, Folklore"
12/5/2016 15:18:30,"Andrew Bird, Are You Serious ","case/lang/veirs, case/lang/veirs","Sia, This Is Acting","Eskimeaux, The Year of the Rabbit","Chairlift, Moth"
12/5/2016 14:32:24,"Eskimeaux, year of the Rabbit","Eskimeaux, year of the Rabbit","Eskimeaux, year of the Rabbit ","Eskimeaux, year of the rabbit",Eskimeaux forever
12/5/2016 16:07:31,"Big Blu Soul Revue, Tongue & Groovin'","Tedeschi Trucks Band, Let Me Get By","Nigel Hall, Ladies and Gentleman... ","Esperanza Spalding, Emily",
12/5/2016 16:06:12,"Anderson .Paak, Malibu","Bon Iver, 22 A Million","Chance the Rapper, Coloring Book","Esperanza Spalding, Emily's D+ Revolution","Frank Ocean, Blonde"
12/9/2016 15:53:13,"Chance the Rapper, Coloring Book","Bon Iver, 22, A Million","Beyonce, Lemonade","Esperanza Spalding, Emily's D+Evolution","Childish Gambino, ""Awaken, My Love!"""
12/8/2016 9:53:30,"Sunflower Beam, Human Ceremony","Lori McKenna, The Bird and the Rifle","Drive-By Truckers, American Band","Esperanza Spalding, Emily's D+Evolution","Margaret Glaspy, Emotions and Math"
12/5/2016 14:59:59,"Radiohead, a moon shaped pool","Anderson Paak, Malibu","Robert Glasper, Art Science","Esperanza Spalding, Emily's D+Evolution","Vulfpeck, The Beautiful Game"
12/6/2016 16:49:29,"Beyonce, Lemonade ","Solange, A Seat at the Table ","Angel Olsen, My Woman ","Esperanza Spalding, Emily's D+Evolution ","Lady Gaga, Joanne "
12/5/2016 15:30:39,The Avalanches- Wildflower,Danny Brown- Atrocity Exhibition,David Bowie- Blackstar,Esperanza Spaulding- Emily's D+ Evolution,Kaytranada- 99.9%
12/7/2016 20:30:13,"Pinegrove, Cardinal","The 1975, I like it when you sleep","Modern Baseball, Holy Ghost","Esperanza Spaulding, Emily's D+Volution","Flatbush Zombies, 3001 A Laced Oddesey "
12/6/2016 1:31:52,"James Blake, The Colour in Anything ","Solange, A seat at the table","Frank Ocean, Blonde","Esperanza Splading, Emily's D+Evolution ","Radiohead, A moon shaped pool"
12/6/2016 11:04:43,Red Hot Chili Peppers - The Getaway ,Nick Cave and The Bad Seeds - Skeleton Tree,Bon Iver - 22 a Million,Explosions in the Sky - Wilderness ,Radiohead - a Moon Shaped Pool
12/5/2016 13:13:59,"Glass Animals, How To Be a Human Being","Radiohead, A Moon Shaped Pool","Bayonne, Primitives","Explosions in the Sky, The Wilderness","Minor Victories, Minor Victories"
12/5/2016 13:48:45,"Radiohead, A Moon Shaped Pool","David Bowie, Blackstar","Frank Ocean, Blond","Explosions in the Sky, The Wilderness","Andrew Bird, Are You Serious"
12/9/2016 9:51:52,"Andrew Bird, Are You Serious","A Tribe Called Quest, We Got It From Here... Thank You 4 Your Service","Frankie Cosmos, Next Thing","Explosions in the Sky, The Wilderness","Angel Olsen, My Woman"
12/5/2016 16:02:39,"Bon Iver, 22, A Million","Radiohead, A Moon Shaped Pool","Lisa Hannigan, At Swim","Explosions in the Sky, The Wilderness","BADBADNOTGOOD, IV"
12/5/2016 13:15:17,"Chance the Rapper, Coloring Book","Sturgill Simpson, A Sailor's Guide to Earth","Wilco, Schmilco","Explosions in the Sky, The Wilderness","Give a Glimpse of What Yer Not, Dinosaur Jr"
12/12/2016 8:36:26,"David Bowie, Black Star","Nick Cave & The Bad Seeds, Skeleton Tree ","The Divine Comedy, Foreverland","Ezra Furman, Songs by Others","Primal Scream, Chaosmosis"
12/6/2016 1:46:48,Coloring Book- Chance the Rapper,The Beautiful Game- Vulfpeck ,Are You Serious- Andrew Bird,Fallen Angels- Bob Dylan,A Moon Shaped Pool- Radiohead
12/6/2016 20:32:48,Sturgis Simpson Sailors Guide to Earth,Chris Cornell Higher Truth,Brian Fallon Get Hurt,Fantastic Negrito The Last Days of  Oakland,
12/5/2016 13:36:52,"Bleached, Welcome the Worms","Lucius, Good Grief","case/lang/viers, case/lang/viers","Femme, Debutante","Car Seat Headrest, Teens of Denial"
12/5/2016 18:29:26,"Bleached, Welcome the Worms","Lucius, Good Grief","case/lang/viers, case/lang/viers","Femme, Debutante","Car Seat Headrest, Teens of Denial"
12/12/2016 10:03:55,"Dawes, We're All Gonna Die","Margaret Glaspy, Emotions and Math","Christine & the Queens, Chaleur Humaine","Field Music, Commontime","Miranda Lambert, Weight of these Wings"
12/6/2016 23:19:27,"Zayn, Mind Of Mine","Beyonce, Lemonade","Britney Spears, Glory","Fifth Harmony, 7/27",
12/11/2016 12:48:27,"ZAYN, Mind of Mine","Ariana Grande, Dangerous Woman","Rihanna, Anti","Fifth Harmony, 7/27","5SOS, Sounds Live Feels Live"
12/11/2016 13:54:35,"ZAYN, Mind of Mine","Fifth Harmony, 7/27","ZAYN, Mind of Mine","Fifth Harmony, 7/27","ZAYN, Mind of Mine"
12/6/2016 8:51:11,"Metallica, hardwired... to self destruct","Garbage, strange little birds","Volbeat, seal the deal & let's boogie","Filter, crazy eyes ","Rob Zonbie, The Electric Warlock Acid Witch Satanic Orgy Celebration Dispenser"
12/6/2016 1:04:59,"Empire of the Sun, Two Vines","Lady Gaga, Joanne","Miike Snow, iii","Fitz and the tantrums, fitz and the tantrums ","Ladyhawke, wild things"
12/7/2016 10:12:03,"She Makes War, Direction Of Travel","The Empty Page, Unfolding","Penetration, Resolution","Flies On You, Etcetera","Twenty One Pilots, Blurry Face"
12/7/2016 19:51:55,"Radiohead, A Moon Shaped Pool","James Blake, The Colour in Anything ","ANOHNI, Hopelessness","Flock of Dimes, If you see me say yes","Ramin Djawadi, Westworld: Season 1"
12/8/2016 9:07:06,"Bon Iver, 22, A Million","Wye Oak, Tween","Radiohead, A Moon Shaped Pool","Flock of Dimes, If You See Me, Say Yes","David Bowie, Blackstar"
12/5/2016 15:58:52,"The Lumineers, Cleopatra","Conor Oberst, Ruminations","The 1975, I like it when you sleep, for you are so beautiful yet so unaware of it","Florence and the Machine, How Big, How Blue, How Beautiful","Bon Iver, 22, A Million"
12/6/2016 23:27:27,"Rihanna, Anti","Car Seat Headrest, Teens of Denial","Chance the Rapper, Coloring Book","Flume, Skin","Local Natives, Sunlit Youth"
12/6/2016 14:41:00,"Dinosaur Jr., Give a Glimpse of What Yer Not","WET, Don't You","Tegan & Sara, Love You To Death","Flume, Skin","Tom Odell, Wrong Crowd"
12/5/2016 18:14:33,"The Wild Feathers, Lonely Is A Lifetime","Johnnyswim, Georgica Pond","The Head and the Heart, Signs of Light","Flume, Skin","Jack White, Acoustic Recordings 1998-2016"
12/8/2016 19:18:06,"Anderson.Paak, Malibu","Bon Iver, 22, A Million","Warpaint, Heads Up","Flume, Skin","Local Natives, Sunlit Youth"
12/8/2016 15:39:53,"Glass animals,how to be a human being","Radiohead,a moon shaped pool","Young the giant,home of the strange ","Flume,skin ","Kishi bashi,sonderlust"
12/12/2016 11:35:17,Mind of Mine - Zayn,Lemonade - Beyonce ,Anti- Rihanna,For All We Know- Nao,Ology- Gallant
12/6/2016 8:56:04,"Augustines, This Is Your Life","Andrew Bird, Are You Serious","Kishi Bashi, Sonderlust","Foreign Fields, Take Cover","Okkervil River, Away"
12/9/2016 12:58:44,Car Seat Headrest - Teens of Denial,Chance the Rapper - Coloring Book,The Strokes - Future Present Past,Forth Wanderers - Slop,Super Unison - Auto
12/6/2016 22:31:46,"Wilco, Schmilco","Sturgill Simpson, A Sailor's Guide to Earth","Leonard Cohen, You Want it Darker","Foxygen, Hang","Radiohead, A Moon Shaped Pool"
12/9/2016 10:59:55,"Daniel Duke, Brother","Jess Morgan, Edison Gloriette","Gavin James, Bitter Pill","Foy Vance, The Wild Swan","Cleopatra, The Lumineers"
12/5/2016 16:15:41,"The 1975, I like it when you sleep for you are so beautiful yet so unaware of it","The Japanese House, Swim Against the Tide - EP","Yellowcard, Yellowcard","Foy Vance, The Wild Swan","Jimmy Eat World, Integrity Blues"
12/5/2016 15:12:34,"Bon Iver, 22 A Million","Beyonce, Lemonade ","Kanye West, Life of Pablo","Francis and the Lights, Farewell, Starlite","Andrew Bird, Are You Serious"
12/5/2016 13:27:41,"Anderson .Paak, Malibu","Avalanches, Wildflower","Bon Iver, 22 A Million","Francis and the Lights, Farewell, Starlite!","Sam Beam & Jesca Hoop, Love Letters for Fire"
12/6/2016 12:13:27,"Chance the Rapper, Coloring book","Beyonce, Lemonade","ASAP Mob,Cozy Tapes","Francis and the Lights,Farewll Starlite","Florence and the Machine,HB HB HB"
12/6/2016 14:27:30,"Marillion, FEAR","David Bowie, Blackstar","Suede, Night Thoughts","Francoiz Breut, Zoo","Robbie Fulks, Upland Stories"
12/5/2016 22:29:57,"Bon Iver - 22, a Million",Radiohead - A Moon Shaped Pool,James Blake - The Colour of Everything,Frank Ocean - blond,Kanye West - Life of Pablo
12/7/2016 4:23:29,Radiohead - A moon shaped pool,The Jayhawks - Paging Mr. Proust,"Bon Iver - 22, a million",Frank Ocean - Blonde,Band of horses - Whyare you OK
12/7/2016 15:55:43,"Bon Iver, 22, A Million","Beyonce, Lemonade","Anderson .Paak, Malibu","Frank Ocean, Blond","Chance the Rapper, Coloring Book"
12/6/2016 0:47:36,"kanye west, the life of Pablo","Esperanza Spalding, Emily's d+ evolution","Chance the rapper, Coloring Book","Frank Ocean, Blond","Solange, A Seat at the Table"
12/12/2016 8:26:37,"Dawg Yawp, Dawg Yawp","Radiohead, a Moon Shaped Pool","James Blake, The Colour in Anything","Frank Ocean, Blond","Beyoncé, Lemonade"
12/5/2016 18:26:38,"Beyonce, Lemonade","Zayn, Mind Of Mine","Kanye West, The Life of Pablo","Frank Ocean, Blond","Justin Bueber, Purpose"
12/6/2016 0:18:50,"Chance The Rapper, Coloring Book","Bon Iver, 22 A Million ","Twin Peaks, Down in Heaven","Frank Ocean, Blond","Anderson Paak, Malibu"
12/9/2016 20:16:05,"Conor Oberst, Ruminations","Regina Spektor, Remember us to Life","Wilco, Schmilco ","Frank Ocean, Blond ",
12/7/2016 11:07:53,"The Lumineers, Cleopatra","Bon Iver, 22, A Million","Angel Olsen, MY WOMAN","Frank Ocean, Blonde","Kishi Bashi, Sonderlust"
12/5/2016 12:32:36,"solange, seat at the table","bon iver, 22 a million","beyonce, lemonade","frank ocean, blonde","angel olsen, my woman"
12/6/2016 22:42:17,"Zayn, Mind of Mine","Rihanna, ANTI","Beyonce, Lemonade","Frank Ocean, Blonde","The Weeknd, Starboy"
12/5/2016 15:04:47,"David Bowie, Blackstar","Solange, A Seat at the Table","Beyonce, Lemonade","Frank Ocean, Blonde","Chance the Rapper, Coloring Book"
12/5/2016 17:16:06,"A Tribe Called Quest, We Got It From Here... Thank You 4 Your Service","Solange, A Seat at the Table","Beyoncé, Lemonade","Frank Ocean, Blonde","Chance the Rapper, Coloring Book"
12/5/2016 18:18:58,"Angel Olsen, My Woman","The 1975, I like it when you sleep for you are so beautiful yet so unaware of it","Blood Orange, Freetown Sound","Frank Ocean, Blonde","Beyoncé, Lemonade"
12/7/2016 0:08:20,"Chance the Rapper, Coloring Book","Dawes, We're All Gonna Die","Bob Iver, 22 A Million","Frank Ocean, Blonde","The Lumineers, Cleopatra "
12/6/2016 8:32:41,"David Bowie, Blackstar","A Tribe Called Quest, We got it from here...","Bon Iver, 22, A Million","Frank Ocean, Blonde",
12/5/2016 13:05:26,"Hiss Golden Messenger, Heart Like a Levee","Various Artists, Day of the Dead","Bon Iver, 22, A Million","Frank Ocean, Blonde","Scott Hirsch, Blue Rider Songs"
12/5/2016 17:43:31,"Mitski, Puberty 2","Big Thief, Masterpiece","Chance the Rapper, Coloring Book","Frank Ocean, Blonde","Solange, A Seat at the Table"
12/5/2016 22:14:38,"Radiohead, A Moon Shaped Pool","David Bowie, Lazarus","Chance the Rapper, Coloring Book","Frank Ocean, Blonde","Rihanna, Anti"
12/5/2016 15:35:24,"Wet, Don't You","Banks, The Altar","Chase Shewbridge, Cherry","Frank Ocean, Blonde","Beyoncé, Lemonade"
